date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:28	596/596	---M-Z	404	error ('Not%20Found')	text/html	etag:%22a100e-3fe-527f31e13e001%22	http://template.themeton.com/robots.txt		(from )
10:17:29	83487/83487	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:17:27%20GMT	http://template.themeton.com/tenguu-html/	C:/My%20Web%20Sites/Demo/template.themeton.com/tenguu-html/index.html	(from )
10:17:29	2186/2186	---M--	200	added ('OK')	image/png	etag:%22589c6b9b-88a%22	http://template.themeton.com/tenguu-html/images/favicon.png	C:/My%20Web%20Sites/Demo/template.themeton.com/tenguu-html/images/favicon.png	(from http://template.themeton.com/tenguu-html/)
10:17:29	2791/2791	---MC-	200	added ('OK')	text/css	date:Tue,%2008%20May%202018%2003:17:28%20GMT	http://fonts.googleapis.com/css?family=Roboto:400,100,100italic,300,300ita%e2%80%8c%e2%80%8blic,400italic,500,500italic,700,700italic,900italic,900	C:/My%20Web%20Sites/Demo/fonts.googleapis.com/css8561.css	(from http://template.themeton.com/tenguu-html/)
10:17:30	241/241	---MC-	200	added ('OK')	text/css	date:Tue,%2008%20May%202018%2003:17:28%20GMT	http://fonts.googleapis.com/css?family=Open+Sans	C:/My%20Web%20Sites/Demo/fonts.googleapis.com/cssd2d5.css	(from http://template.themeton.com/tenguu-html/)
10:17:34	217569/217569	---M--	200	added ('OK')	text/css	etag:%22589c513c-351e1%22	http://template.themeton.com/tenguu-html/css/packages.min.css	C:/My%20Web%20Sites/Demo/template.themeton.com/tenguu-html/css/packages.min.css	(from http://template.themeton.com/tenguu-html/)
10:17:34	4414/4414	---M--	200	added ('OK')	image/png	etag:%22589c6b9b-113e%22	http://template.themeton.com/tenguu-html/images/logo.png	C:/My%20Web%20Sites/Demo/template.themeton.com/tenguu-html/images/logo.png	(from http://template.themeton.com/tenguu-html/)
10:17:34	112022/112022	---M--	200	added ('OK')	text/css	etag:%2258d27e7f-1b596%22	http://template.themeton.com/tenguu-html/css/default.css	C:/My%20Web%20Sites/Demo/template.themeton.com/tenguu-html/css/default.css	(from http://template.themeton.com/tenguu-html/)
10:17:35	4421/4421	---M--	200	added ('OK')	image/png	etag:%22589c513c-1145%22	http://template.themeton.com/tenguu-html/images/user.png	C:/My%20Web%20Sites/Demo/template.themeton.com/tenguu-html/images/user.png	(from http://template.themeton.com/tenguu-html/)
10:17:35	26656/26656	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:17:34%20GMT	http://template.themeton.com/tenguu-html/blog.php	C:/My%20Web%20Sites/Demo/template.themeton.com/tenguu-html/blog.html	(from http://template.themeton.com/tenguu-html/)
10:17:36	33210/33210	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:17:34%20GMT	http://template.themeton.com/tenguu-html/single.php	C:/My%20Web%20Sites/Demo/template.themeton.com/tenguu-html/single.html	(from http://template.themeton.com/tenguu-html/)
